['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['309;Pescada', ' filé', ' molho escabeche;11.75;8.02;1.31;;0.78;51.29;5.02
['310;Pescadinha', ' crua;15.48;1.14;0.30;;NA;120.34;0.00
['311;Pintado', ' assado;36.45;3.98;1.80;;NA;80.95;0.00
['312;Pintado', ' cru;18.56;1.31;0.60;;NA;43.34;0.00
['313;Pintado', ' grelhado;30.80;2.29;1.10;;NA;53.09;0.00
['314;Porquinho', ' cru;20.49;0.61;0.40;;NA;66.73;0.00
['315;Salmão', ' filé', ' com pele', ' fresco', '  grelhado;23.92;14.04;3.14;;NA;85.14;0.00
['316;Salmão', ' sem pele', ' fresco', ' cru;19.25;9.71;2.47;;NA;64.24;0.00
['317;Salmão', ' sem pele', ' fresco', ' grelhado;26.14;14.53;3.58;;NA;95.81;0.00
['318;Sardinha', ' assada;32.18;2.99;1.70;;NA;74.47;0.00
['319;Sardinha', ' conserva em óleo;15.94;24.05;4.10;;NA;665.84;0.00
['320;Sardinha', ' frita;33.38;12.69;2.60;;NA;60.10;0.00
['321;Sardinha', ' inteira', ' crua;21.08;2.65;1.70;;NA;60.39;0.00
['322;Tucunaré', ' filé', ' congelado', ' cru;17.96;1.22;0.60;;NA;56.55;-0.05
['323;Apresuntado;13.45;6.69;1.93;;NA;942.93;2.86
['324;Caldo de carne', ' tablete;7.82;16.57;7.80;;0.58;22179.67;15.05
['325;Caldo de galinha', ' tablete;6.28;20.42;9.40;;11.81;22299.90;10.65
['326;Carne', ' bovina', ' acém', ' moído', ' cozido;26.69;10.92;4.80;;NA;52.36;0.00
['327;Carne', ' bovina', ' acém', ' moído', ' cru;19.42;5.95;2.70;;NA;48.61;0.00
['328;Carne', ' bovina', ' acém', ' sem gordura', ' cozido;27.27;10.88;5.50;;NA;56.17;0.00
['329;Carne', ' bovina', ' acém', ' sem gordura', ' cru;20.82;6.11;2.80;;NA;49.85;0.00
['330;Carne', ' bovina', ' almôndegas', ' cruas;12.31;11.20;3.90;;*;621.25;9.79
['331;Carne', ' bovina', ' almôndegas', ' fritas;18.16;15.78;4.20;;*;1030.26;14.29
['332;Carne', ' bovina', ' bucho', ' cozido;21.64;4.50;2.40;;NA;38.20;0.00
['333;Carne', ' bovina', ' bucho', ' cru;20.53;5.50;3.30;;NA;45.00;0.00
['334;Carne', ' bovina', ' capa de contra-filé', ' com gordura', ' crua;19.20;14.96;6.90;;NA;57.54;0.00
['335;Carne', ' bovina', ' capa de contra-filé', ' com gordura', ' grelhada;30.69;20.03;8.80;;NA;80.51;0.00
['336;Carne', ' bovina', ' capa de contra-filé', ' sem gordura', ' crua;21.54;4.33;1.90;;NA;79.17;0.00
['337;Carne', ' bovina', ' capa de contra-filé', ' sem gordura', ' grelhada;35.06;9.95;4.30;;NA;82.75;-0.01
['338;Carne', ' bovina', ' charque', ' cozido;36.36;11.92;4.80;;NA;1442.70;0.00
['339;Carne', ' bovina', ' charque', ' cru;22.71;16.84;8.70;;NA;5875.03;0.00
['340;Carne', ' bovina', ' contra-filé', ' à milanesa;20.61;24.00;7.24;;0.37;77.09;12.17
['341;Carne', ' bovina', ' contra-filé de costela', ' cru;19.80;13.07;6.70;;NA;38.52;0.00
['342;Carne', ' bovina', ' contra-filé de costela', ' grelhado;29.88;16.33;8.80;;NA;50.88;0.00
['343;Carne', ' bovina', ' contra-filé', ' com gordura', ' cru;21.15;12.81;5.60;;NA;44.13;0.00
['344;Carne', ' bovina', ' contra-filé', ' com gordura', ' grelhado;32.40;15.49;7.40;;NA;57.07;0.00
['345;Carne', ' bovina', ' contra-filé', ' sem gordura', ' cru;24.00;6.00;2.70;;NA;52.89;0.00
['346;Carne', ' bovina', ' contra-filé', ' sem gordura', ' grelhado;35.88;4.49;2.03;;NA;57.51;0.00
['347;Carne', ' bovina', ' costela', ' assada;28.81;27.72;11.80;;NA;91.86;0.00
['348;Carne', ' bovina', ' costela', ' crua;16.71;31.75;14.90;;NA;70.00;0.00
['349;Carne', ' bovina', ' coxão duro', ' sem gordura', ' cozido;31.88;8.92;3.50;;NA;41.10;0.00
['350;Carne', ' bovina', ' coxão duro', ' sem gordura', ' cru;21.51;6.22;2.86;;NA;48.55;0.00
['351;Carne', ' bovina', ' coxão mole', ' sem gordura', ' cozido;32.38;8.91;4.30;;NA;43.50;0.00
['352;Carne', ' bovina', ' coxão mole', ' sem gordura', ' cru;21.23;8.69;3.90;;NA;60.53;0.00
['353;Carne', ' bovina', ' cupim', ' assado;28.63;23.04;5.50;;NA;71.59;0.00
['354;Carne', ' bovina', ' cupim', ' cru;19.54;15.30;6.80;;NA;46.86;0.00
['355;Carne', ' bovina', ' fígado', ' cru;20.71;5.36;2.79;;NA;75.92;1.11
['356;Carne', ' bovina', ' fígado', ' grelhado;29.86;9.01;4.70;;NA;82.19;4.20
['357;Carne', ' bovina', ' filé mingnon', ' sem gordura', ' cru;21.60;5.61;2.90;;NA;48.86;0.00
['358;Carne', ' bovina', ' filé mingnon', ' sem gordura', ' grelhado;32.80;8.83;4.50;;NA;57.91;0.00
['359;Carne', ' bovina', ' flanco', ' sem gordura', ' cozido;29.38;7.77;3.90;;NA;41.68;0.00
['360;Carne', ' bovina', ' flanco', ' sem gordura', ' cru;20.00;6.22;3.10;;NA;54.22;0.00
['361;Carne', ' bovina', ' fraldinha', ' com gordura', ' cozida;24.24;26.05;12.10;;NA;38.78;0.00
['362;Carne', ' bovina', ' fraldinha', ' com gordura', ' crua;17.58;16.15;7.30;;NA;51.20;0.00
['363;Carne', ' bovina', ' lagarto', ' cozido;32.86;9.11;3.90;;NA;47.54;0.00
['364;Carne', ' bovina', ' lagarto', ' cru;20.54;5.23;2.30;;NA;53.56;0.00
['365;Carne', ' bovina', ' língua', ' cozida;21.37;24.80;11.20;;NA;59.06;0.00
['366;Carne', ' bovina', ' língua', ' crua;17.09;15.77;6.80;;NA;73.05;0.00
['367;Carne', ' bovina', ' maminha', ' crua;20.93;7.03;3.10;;NA;37.42;0.00
['368;Carne', ' bovina', ' maminha', ' grelhada;30.74;2.42;9.70;;NA;58.12;0.00
['369;Carne', ' bovina', ' miolo de alcatra', ' sem gordura', ' cru;21.61;7.83;3.40;;NA;43.05;0.00
['370;Carne', ' bovina', ' miolo de alcatra', ' sem gordura', ' grelhado;31.93;11.64;5.10;;NA;51.62;0.00
['371;Carne', ' bovina', ' músculo', ' sem gordura', ' cozido;31.23;6.70;2.90;;NA;61.79;0.00
['372;Carne', ' bovina', ' músculo', ' sem gordura', ' cru;21.56;5.49;2.20;;NA;66.08;0.00
['373;Carne', ' bovina', ' paleta', ' com gordura', ' crua;21.41;7.46;3.50;;NA;64.90;0.00
['374;Carne', ' bovina', ' paleta', ' sem gordura', ' cozida;29.72;7.40;3.40;;NA;57.62;0.00
['375;Carne', ' bovina', ' paleta', ' sem gordura', ' crua;21.03;5.67;2.70;;NA;65.86;0.00
['376;Carne', ' bovina', ' patinho', ' sem gordura', ' cru;21.72;4.51;2.00;;NA;49.13;0.00
['377;Carne', ' bovina', ' patinho', ' sem gordura', ' grelhado;35.90;7.31;3.10;;NA;60.29;0.00
['378;Carne', ' bovina', ' peito', ' sem gordura', ' cozido;22.25;26.99;11.70;;NA;55.71;0.00
['379;Carne', ' bovina', ' peito', ' sem gordura', ' cru;17.56;20.43;8.20;;NA;63.76;0.00
['380;Carne', ' bovina', ' picanha', ' com gordura', ' crua;18.82;14.69;6.10;;NA;37.62;0.00
['381;Carne', ' bovina', ' picanha', ' com gordura', ' grelhada;26.42;19.51;7.90;;NA;60.00;0.00
['382;Carne', ' bovina', ' picanha', ' sem gordura', ' crua;21.25;4.74;2.00;;NA;61.15;0.00
['383;Carne', ' bovina', ' picanha', ' sem gordura', ' grelhada;31.91;11.33;4.50;;NA;60.66;0.00
['384;Carne', ' bovina', ' seca', ' cozida;26.93;21.93;10.50;;NA;1943.18;0.00
['385;Carne', ' bovina', ' seca', ' crua;19.66;25.37;8.70;;NA;4439.55;0.00
['386;Coxinha de frango', ' frita;9.61;11.84;2.60;;4.97;532.13;34.52
['387;Croquete', ' de carne', ' cru;12.04;15.56;#N/A;;0.00;710.64;13.95
['388;Croquete', ' de carne', ' frito;16.86;22.67;5.08;;0.00;916.41;18.15
['389;Empada de frango', ' pré-cozida', ' assada;6.94;15.61;#N/A;;2.16;524.93;47.49
['390;Empada', ' de frango', ' pré-cozida;7.34;22.89;5.40;;2.22;770.73;35.53
['391;Frango', ' asa', ' com pele', ' crua;18.10;15.07;4.40;;NA;96.30;0.00
['392;Frango', ' caipira', ' inteiro', ' com pele', ' cozido;23.88;15.62;4.40;;NA;56.09;0.00
['393;Frango', ' caipira', ' inteiro', ' sem pele', ' cozido;29.58;7.70;2.20;;NA;53.24;0.00
['394;Frango', ' coração', ' cru;12.58;18.60;4.90;;NA;95.06;0.00
['395;Frango', ' coração', ' grelhado;22.44;12.10;3.50;;NA;128.24;0.61
['396;Frango', ' coxa', ' com pele', ' assada;28.49;10.36;3.10;;NA;94.84;0.06
['397;Frango', ' coxa', ' com pele', ' crua;17.09;9.81;3.00;;NA;94.96;0.00
['398;Frango', ' coxa', ' sem pele', ' cozida;26.86;5.85;2.00;;NA;64.34;0.00
['399;Frango', ' coxa', ' sem pele', ' crua;17.81;4.86;1.60;;NA;98.37;0.02
['400;Frango', ' fígado', ' cru;17.59;3.49;1.30;;NA;82.43;-0.02
['401;Frango', ' filé', ' à milanesa;28.46;7.79;1.60;;1.13;122.33;7.51
['402;Frango', ' inteiro', ' com pele', ' cru;16.44;17.31;5.20;;NA;62.88;0.00
['403;Frango', ' inteiro', ' sem pele', ' assado;28.03;7.50;2.10;;NA;70.27;0.00
['404;Frango', ' inteiro', ' sem pele', ' cozido;24.99;7.06;2.20;;NA;50.89;0.00
['405;Frango', ' inteiro', ' sem pele', ' cru;20.59;4.57;1.40;;NA;72.96;0.00
['406;Frango', ' peito', ' com pele', ' assado;33.42;7.65;2.20;;NA;55.70;0.00
['407;Frango', ' peito', ' com pele', ' cru;20.78;6.73;2.20;;NA;62.31;0.00
['408;Frango', ' peito', ' sem pele', ' cozido;31.47;3.16;1.10;;NA;36.17;0.00
['409;Frango', ' peito', ' sem pele', ' cru;21.53;3.02;1.10;;NA;56.14;0.00
['410;Frango', ' peito', ' sem pele', ' grelhado;32.03;2.48;0.90;;NA;50.25;0.00
['411;Frango', ' sobrecoxa', ' com pele', ' assada;28.70;15.19;4.20;;NA;95.94;0.00
['412;Frango', ' sobrecoxa', ' com pele', ' crua;15.46;20.90;6.50;;NA;68.27;0.00
['413;Frango', ' sobrecoxa', ' sem pele', ' assada;29.18;12.01;3.30;;NA;106.08;0.00
['414;Frango', ' sobrecoxa', ' sem pele', ' crua;17.57;9.62;3.00;;NA;79.75;0.00
['415;Hambúrguer', ' bovino', ' cru;13.16;16.18;5.70;;*;869.46;4.15
['416;Hambúrguer', ' bovino', ' frito;19.97;17.01;5.90;;*;1251.80;6.32
['417;Hambúrguer', ' bovino', ' grelhado;13.16;12.43;5.10;;*;1090.33;11.33
['418;Lingüiça', ' frango', ' crua;14.24;17.44;5.20;;NA;1125.81;0.00
['419;Lingüiça', ' frango', ' frita;18.32;18.54;5.00;;NA;1373.89;0.00
['420;Lingüiça', ' frango', ' grelhada;18.19;18.40;4.70;;NA;1351.49;0.00
['421;Lingüiça', ' porco', ' crua;16.06;17.58;4.00;;NA;1175.72;0.00
['422;Lingüiça', ' porco', ' frita;20.45;21.31;6.50;;NA;1431.59;0.00
['423;Lingüiça', ' porco', ' grelhada;23.17;21.90;7.00;;NA;1455.86;0.00
['424;Mortadela;11.95;21.65;6.12;;NA;1212.17;5.82
['425;Peru', ' congelado', ' assado;26.20;5.68;1.60;;NA;627.88;0.00
['426;Peru', ' congelado', ' cru;18.08;1.83;0.40;;NA;710.68;0.00
['427;Porco', ' bisteca', ' crua;21.50;8.02;3.50;;NA;54.29;0.00
['428;Porco', ' bisteca', ' frita;33.75;18.52;5.97;;NA;63.03;0.00
['429;Porco', ' bisteca', ' grelhada;28.89;17.38;7.50;;NA;51.45;0.00
['430;Porco', ' costela', ' assada;30.22;30.28;11.80;;NA;62.68;0.00
['431;Porco', ' costela', ' crua;18.00;19.82;7.40;;NA;87.98;0.00
['432;Porco', ' lombo', ' assado;35.73;6.40;2.60;;NA;38.92;0.00
['433;Porco', ' lombo', ' cru;22.60;8.77;3.30;;NA;53.07;0.00
['434;Porco', ' orelha', ' salgada', ' crua;18.52;19.89;7.30;;NA;615.60;0.00
['435;Porco', ' pernil', ' assado;32.13;13.86;4.80;;NA;62.41;0.00
['436;Porco', ' pernil', ' cru;20.13;11.10;4.20;;NA;101.89;0.00
['437;Porco', ' rabo', ' salgado', ' cru;15.58;34.47;11.60;;NA;1157.67;0.00
['438;Presunto', ' com capa de gordura;14.37;6.77;1.95;;NA;1020.77;1.40
['439;Presunto', ' sem capa de gordura;14.29;2.71;0.86;;NA;1039.19;2.15
['440;Quibe', ' assado;14.59;2.68;1.23;;1.90;39.89;12.86
['441;Quibe', ' cru;12.35;1.67;0.65;;1.65;38.77;10.77
['442;Quibe', ' frito;14.89;15.80;4.58;;0.00;835.83;12.34
['443;Salame;25.81;30.64;9.57;;NA;1574.17;2.91
['444;Toucinho', ' cru;11.48;60.26;17.70;;NA;49.59;0.00
['445;Toucinho', ' frito;27.28;64.31;20.00;;NA;124.85;0.00
['446;Bebida láctea', ' pêssego;2.13;1.91;1.10;;0.29;46.26;7.57
['447;Creme de Leite;1.51;22.48;11.82;;NA;51.72;4.51
['448;Iogurte', ' natural;4.06;3.04;1.80;;NA;51.62;1.92
['449;Iogurte', ' natural', ' desnatado;3.83;0.32;0.20;;NA;59.64;5.77
['450;Iogurte', ' sabor abacaxi;*;*;#N/A;;*;*;*
['451;Iogurte', ' sabor morango;2.71;2.33;1.40;;0.22;37.66;9.69
['452;Iogurte', ' sabor pêssego;2.53;2.34;1.40;;0.72;36.96;9.43
['453;Leite', ' condensado;7.67;6.74;4.20;;NA;93.80;57.00
['454;Leite', ' de cabra;3.07;3.75;2.40;;NA;73.95;5.25
['455;Leite', ' de vaca', ' achocolatado;2.10;2.17;1.10;;0.65;71.74;14.16
['456;Leite', ' de vaca', ' desnatado', ' pó;34.69;0.93;0.60;;NA;431.67;53.04
['457;Leite', ' de vaca', ' desnatado', ' UHT;*;*;#N/A;;NA;51.14;*
['458;Leite', ' de vaca', ' integral;*;*;1.40;;NA;63.76;*
['459;Leite', ' de vaca', ' integral', ' pó;25.42;26.90;16.30;;NA;323.20;39.18
['460;Leite', ' fermentado;1.89;0.10;#N/A;;NA;33.43;15.67
['461;Queijo', ' minas', ' frescal;17.41;20.18;11.40;;NA;31.23;3.24
['462;Queijo', ' minas', ' meia cura;21.21;24.61;13.23;;NA;501.17;3.57
['463;Queijo', ' mozarela;22.65;25.18;14.23;;NA;581.36;3.05
['464;Queijo', ' parmesão;35.55;33.53;19.70;;NA;1844.08;1.66
['465;Queijo', ' pasteurizado;9.36;27.44;15.90;;NA;780.43;5.68
['466;Queijo', ' petit suisse', ' morango;5.79;2.84;1.60;;NA;412.47;18.46
['467;Queijo', ' prato;22.66;29.11;16.29;;NA;579.77;1.88
['468;Queijo', ' requeijão', ' cremoso;9.63;23.44;13.70;;NA;557.92;2.43
['469;Queijo', ' ricota;12.60;8.11;4.50;;NA;282.58;3.79
['470;Bebida isotônica', ' sabores variados;0.00;0.00;#N/A;;NA;44.08;6.40
['471;Café', ' infusão 10%;0.71;0.07;#N/A;;NA;1.03;1.48
['472;Cana', ' aguardente 1;0.00;0.00;#N/A;;NA;3.15;0.00
['473;Cana', ' caldo de;Tr;Tr;#N/A;;0.14;Tr;18.15
['474;Cerveja', ' pilsen 2;0.56;Tr;#N/A;;NA;4.23;3.32
['475;Chá', ' erva-doce', ' infusão 5%;0.00;0.00;#N/A;;NA;0.63;0.39
['476;Chá', ' mate', ' infusão 5%;0.00;0.05;#N/A;;NA;Tr;0.64
['477;Chá', ' preto', ' infusão 5%;0.00;0.00;#N/A;;NA;Tr;0.63
['478;Coco', ' água de;0.00;0.00;#N/A;;0.13;1.78;5.28
['479;Refrigerante', ' tipo água tônica;0.00;0.00;#N/A;;NA;8.29;7.95
['480;Refrigerante', ' tipo cola;0.00;0.00;#N/A;;NA;7.12;8.66
['481;Refrigerante', ' tipo guaraná;0.00;0.00;#N/A;;NA;9.01;10.00
['482;Refrigerante', ' tipo laranja;0.00;0.00;#N/A;;NA;9.27;11.79
['483;Refrigerante', ' tipo limão;0.00;0.00;#N/A;;NA;8.80;10.26
['484;Omelete', ' de queijo;15.57;22.01;6.40;;NA;216.05;0.44
['485;Ovo', ' de codorna', ' inteiro', ' cru;13.69;12.68;8.90;;NA;128.99;0.77
['486;Ovo', ' de galinha', ' clara', ' cozida/10minutos;13.45;0.09;#N/A;;NA;180.54;0.00
['487;Ovo', ' de galinha', ' gema', ' cozida/10minutos;15.90;30.78;9.20;;NA;44.91;1.56
['488;Ovo', ' de galinha', ' inteiro', ' cozido/10minutos;13.29;9.48;2.90;;NA;145.90;0.61
['489;Ovo', ' de galinha', ' inteiro', ' cru;13.03;8.90;2.60;;NA;167.91;1.64
['490;Ovo', ' de galinha', ' inteiro', ' frito;15.62;18.59;4.12;;NA;166.11;1.19
['491;Achocolatado', ' pó;4.20;2.17;1.10;;3.89;64.79;91.18
['492;Açúcar', ' cristal;0.32;Tr;#N/A;;NA;Tr;99.61
['493;Açúcar', ' mascavo;0.76;0.09;#N/A;;NA;25.20;94.45
['494;Açúcar', ' refinado;0.32;Tr;#N/A;;NA;12.16;99.54
['495;Chocolate', ' ao leite;7.22;30.27;17.50;;2.17;77.10;59.58
['496;Chocolate', ' ao leite', ' com castanha do Pará;7.41;34.19;14.10;;2.46;64.05;55.38
['497;Chocolate', ' ao leite', ' dietético;6.90;33.77;19.20;;2.85;84.71;56.32
['498;Chocolate', ' meio amargo;4.86;29.86;13.10;;4.94;8.87;62.42
['499;Cocada branca;1.12;13.59;8.40;;3.57;28.99;81.38
['500;Doce', ' de abóbora', ' cremoso;0.92;0.21;Tr;;2.28;Tr;54.61
['501;Doce', ' de leite', ' cremoso;5.48;5.99;1.32;;NA;120.09;59.49
['502;Geléia', ' mocotó', ' natural;2.13;0.07;Tr;;NA;42.68;24.23
['503;Glicose de milho;0.00;0.00;#N/A;;NA;58.93;79.38
['504;Maria mole;3.81;0.19;#N/A;;0.67;15.31;73.55
['505;Maria mole', ' coco queimado;3.93;0.09;#N/A;;0.64;14.29;75.06
['506;Marmelada;0.40;0.14;#N/A;;4.07;10.88;70.76
['507;Mel', ' de abelha;0.00;0.00;#N/A;;NA;6.04;84.03
['508;Melado;0.00;0.00;#N/A;;NA;4.01;76.62
['509;Quindim;4.74;24.43;11.33;;3.22;27.37;46.30
['510;Rapadura;0.99;0.07;#N/A;;NA;21.71;90.79
['511;Café', ' pó', ' torrado;14.70;11.95;5.30;;51.23;1.13;65.75
['512;Capuccino', ' pó;11.31;8.63;4.00;;2.44;382.29;73.61
['513;Fermento em pó', ' químico;0.48;0.07;#N/A;;NA;10052.41;43.91
['514;Fermento', ' biológico', ' levedura', ' tablete;16.96;1.52;#N/A;;4.17;39.61;7.70
['515;Gelatina', ' sabores variados', ' pó;8.89;Tr;#N/A;;NA;234.92;89.22
['516;Sal', ' dietético;NA;NA;#N/A;;NA;23431.52;NA
['517;Sal', ' grosso;NA;NA;#N/A;;NA;39943.20;NA
['518;Shoyu;3.31;0.33;Tr;;NA;5024.21;11.65
['519;Tempero a base de sal;2.67;0.26;#N/A;;0.56;32560.00;2.07
['520;Azeitona', ' preta', ' conserva;1.16;20.35;3.50;;4.56;1566.66;5.54
['521;Azeitona', ' verde', ' conserva;0.95;14.22;2.30;;3.85;1347.18;4.10
['522;Chantilly', ' spray', ' com gordura vegetal;0.53;27.27;25.90;;NA;109.70;16.86
['523;Leite', ' de coco;1.01;18.36;15.60;;0.68;44.29;2.19
['524;Maionese', ' tradicional com ovos;0.58;30.50;4.10;;NA;786.83;7.90
['525;Acarajé;8.35;19.93;9.10;;9.36;304.89;19.11
['526;Arroz carreteiro;10.83;7.12;3.20;;1.50;1621.73;11.58
['527;Baião de dois', ' arroz e feijão-de-corda;6.24;3.23;0.60;;5.07;93.30;20.42
['528;Barreado;18.27;9.53;3.33;;0.15;47.63;0.24
['529;Bife à cavalo', ' com contra filé;23.66;21.15;7.94;;NA;82.87;0.00
['530;Bolinho de arroz;8.04;8.29;1.80;;2.74;58.86;41.68
['531;Camarão à baiana;7.94;5.97;1.64;;0.39;84.79;3.17
['532;Charuto', ' de repolho;6.78;1.12;0.46;;1.46;12.10;10.13
['533;Cuscuz', ' de milho', ' cozido com sal;2.16;0.68;0.20;;2.05;247.67;25.28
['534;Cuscuz', ' paulista;2.56;4.65;1.80;;2.43;235.71;22.51
['535;Cuxá', ' molho;5.64;3.59;0.59;;3.02;1344.29;5.74
['536;Dobradinha;19.77;4.44;2.50;;NA;28.77;0.00
['537;Estrogonofe de carne;15.03;10.80;5.26;;0.00;122.85;2.98
['538;Estrogonofe de frango;17.55;7.96;3.69;;0.00;99.46;2.59
['539;Feijão tropeiro mineiro;10.17;6.79;2.16;;3.57;365.07;19.58
['540;Feijoada;8.67;6.48;1.92;;5.09;278.22;11.64
['541;Frango', ' com açafrão;9.70;6.17;1.61;;0.22;28.81;4.06
['542;Macarrão', ' molho bolognesa;4.93;0.89;0.27;;0.78;8.94;22.52
['543;Maniçoba;9.96;8.70;2.89;;2.16;406.70;3.42
['544;Quibebe;8.56;2.67;1.04;;1.67;246.61;6.64
['545;Salada', ' de legumes', ' com maionese;1.05;7.04;1.09;;2.22;228.43;8.92
['546;Salada', ' de legumes', ' cozida no vapor;2.01;0.31;0.06;;2.51;2.51;7.09
['547;Salpicão', ' de frango;13.93;7.84;1.34;;0.41;248.35;4.57
['548;Sarapatel;18.47;4.42;1.39;;0.00;215.62;1.09
['549;Tabule;2.05;1.21;0.21;;2.08;1.19;10.58
['550;Tacacá;6.96;0.36;0.18;;0.21;1349.06;3.39
['551;Tapioca', ' com manteiga;0.09;10.91;6.05;;Tr;157.52;63.59
['552;Tucupi', ' com pimenta-de-cheiro;2.06;0.28;0.06;;0.23;5.13;4.74
['553;Vaca atolada;5.12;9.32;4.14;;2.34;25.63;10.06
['554;Vatapá;6.00;23.23;7.50;;1.70;879.85;9.75
['555;Virado à paulista;10.18;25.59;8.28;;2.16;345.53;14.11
['556;Yakisoba;7.52;2.61;0.58;;1.06;793.76;18.25
['557;Amendoim', ' grão', ' cru;27.19;43.85;8.70;;8.04;Tr;20.31
['558;Amendoim', ' torrado', ' salgado;22.48;53.96;9.74;;7.76;375.73;18.70
['559;Ervilha', ' em vagem;7.45;0.47;Tr;;9.72;Tr;14.23
['560;Ervilha', ' enlatada', ' drenada;4.60;0.38;0.10;;5.08;372.11;13.44
['561;Feijão', ' carioca', ' cozido;4.78;0.54;0.10;;8.51;1.76;13.59
['562;Feijão', ' carioca', ' cru;19.98;1.26;0.20;;18.42;Tr;61.22
['563;Feijão', ' fradinho', ' cozido;5.09;0.64;0.20;;7.47;0.98;13.50
['564;Feijão', ' fradinho', ' cru;20.21;2.37;0.70;;23.59;10.31;61.24
['565;Feijão', ' jalo', ' cozido;6.14;0.51;0.10;;13.87;0.52;16.50
['566;Feijão', ' jalo', ' cru;20.10;0.95;0.30;;30.32;24.58;61.48
['567;Feijão', ' preto', ' cozido;4.48;0.54;0.10;;8.40;1.85;14.01
['568;Feijão', ' preto', ' cru;21.34;1.24;0.20;;21.83;Tr;58.75
['569;Feijão', ' rajado', ' cozido;5.54;0.40;0.10;;9.32;0.69;15.27
['570;Feijão', ' rajado', ' cru;17.27;1.17;0.40;;24.01;13.65;62.93
['571;Feijão', ' rosinha', ' cozido;4.54;0.48;0.20;;4.76;2.08;11.82
['572;Feijão', ' rosinha', ' cru;20.92;1.33;0.60;;20.63;24.11;62.22
['573;Feijão', ' roxo', ' cozido;5.72;0.54;0.10;;11.51;1.46;12.91
['574;Feijão', ' roxo', ' cru;22.17;1.24;0.30;;33.84;9.76;59.99
['575;Grão-de-bico', ' cru;21.23;5.43;0.90;;12.36;5.19;57.88
['576;Guandu', ' cru;18.96;2.13;0.60;;21.31;1.62;64.00
['577;Lentilha', ' cozida;6.31;0.52;0.10;;7.86;1.18;16.30
['578;Lentilha', ' crua;23.15;0.77;0.10;;16.94;Tr;62.00
['579;Paçoca', ' amendoim;16.00;26.08;4.10;;7.32;166.84;52.38
['580;Pé-de-moleque', ' amendoim;13.16;28.05;5.08;;3.39;16.35;54.73
['581;Soja', ' farinha;36.03;14.63;#N/A;;20.18;5.75;38.44
['582;Soja', ' extrato solúvel', ' natural', ' fluido;2.38;1.61;0.20;;0.37;56.53;4.28
['583;Soja', ' extrato solúvel', ' pó;35.69;26.18;3.30;;7.31;83.47;28.48
['584;Soja', ' queijo (tofu);6.55;3.95;0.40;;0.75;1.21;2.13
['585;Tremoço', ' cru;33.58;10.34;1.20;;32.31;3.29;43.79
['586;Tremoço', ' em conserva;11.11;3.78;0.40;;14.44;1808.76;12.39
['587;Amêndoa', ' torrada', ' salgada;18.55;47.32;4.80;;11.64;278.52;29.55
['588;Castanha-de-caju', ' torrada', ' salgada;18.51;46.28;7.70;;3.66;125.00;29.13
['589;Castanha-do-Brasil', ' crua;14.54;63.46;15.30;;7.93;0.65;15.08
['590;Coco', ' cru;3.69;41.98;30.00;;5.38;15.32;10.40
['591;Coco', '  verde', ' cru;*;*;3.14;;*;*;*
['592;Farinha', ' de mesocarpo de babaçu', ' crua;1.41;0.20;#N/A;;17.86;12.46;79.17
['593;Gergelim', ' semente;21.16;50.43;7.80;;11.87;2.58;21.62
['594;Linhaça', ' semente;14.08;32.25;4.20;;33.50;8.67;43.31
['595;Pinhão', ' cozido;2.98;0.75;0.30;;15.60;0.86;43.92
['596;Pupunha', ' cozida;2.52;12.76;3.07;;4.25;0.91;29.57
['597;Noz', ' crua;13.97;59.36;5.60;;7.25;4.57;18.36
