['\xef\xbb\xbfCod;Ingredientes;Proteina;Gordura Total;Gordura Saturada;Gordura Trans;Fibra ;S\xc3\xb3dio;Carboidrato
['32;Farinha', ' de centeio', ' integral;12.52;1.75;0.30;;15.48;41.38;73.30
['33;Farinha', ' de milho', ' amarela;7.19;1.47;0.40;;5.49;44.93;79.08
['34;Farinha', ' de rosca;11.38;1.46;0.60;;4.82;332.50;75.79
['35;Farinha', ' de trigo;9.79;1.37;0.31;;2.35;0.74;75.09
['36;Farinha', ' láctea', ' de cereais;11.88;5.79;3.30;;1.94;125.07;77.77
['37;Lasanha', ' massa fresca', ' cozida;5.81;1.16;0.60;;1.64;206.77;32.52
['38;Lasanha', ' massa fresca', ' crua;7.01;1.34;0.50;;1.61;666.71;45.06
['39;Macarrão', ' instantâneo;8.79;17.24;#N/A;;5.61;1515.53;62.43
['40;Macarrão', ' trigo', ' cru;10.00;1.30;#N/A;;2.93;7.17;77.94
['41;Macarrão', ' trigo', ' cru', ' com ovos;10.32;1.97;0.54;;2.30;14.74;76.62
['42;Milho', ' amido', ' cru;0.60;Tr;#N/A;;0.74;8.08;87.15
['43;Milho', ' fubá', ' cru;7.21;1.90;0.43;;4.71;Tr;78.87
['44;Milho', ' verde', ' cru;6.59;0.61;0.20;;3.92;1.12;28.56
['45;Milho', ' verde', ' enlatado', ' drenado;3.23;2.35;0.60;;4.64;260.35;17.14
['46;Mingau tradicional', ' pó;0.58;0.37;0.10;;0.88;14.86;89.34
['47;Pamonha', ' barra para cozimento', ' pré-cozida;2.55;4.85;0.50;;2.37;131.99;30.68
['48;Pão', ' aveia', ' forma;12.35;5.69;1.10;;5.98;605.76;59.57
['49;Pão', ' de soja;11.34;3.58;0.70;;5.71;662.54;56.51
['50;Pão', ' glúten', ' forma;11.95;2.73;0.50;;2.48;22.05;44.12
['51;Pão', ' milho', ' forma;8.30;3.11;0.60;;4.30;506.64;56.40
['52;Pão', ' trigo', ' forma', ' integral;9.43;3.65;0.70;;6.88;506.10;49.94
['53;Pão', ' trigo', ' francês;7.95;3.10;1.00;;2.31;647.67;58.65
['54;Pão', ' trigo', ' sovado;8.40;2.84;0.80;;2.43;430.79;61.45
['55;Pastel', ' de carne', ' cru;10.74;8.79;3.69;;1.04;1309.27;42.02
['56;Pastel', ' de carne', ' frito;10.10;20.14;4.83;;0.99;1039.89;43.77
['57;Pastel', ' de queijo', ' cru;9.85;9.63;#N/A;;1.11;984.57;45.95
['58;Pastel', ' de queijo', ' frito;8.71;22.67;#N/A;;0.94;821.38;48.13
['59;Pastel', ' massa', ' crua;6.90;5.48;2.10;;1.41;1344.20;57.38
['60;Pastel', ' massa', ' frita;6.02;40.86;6.90;;1.31;1174.67;49.34
['61;Pipoca', ' com óleo de soja', ' sem sal;9.93;15.94;2.36;;14.34;4.32;70.31
['62;Polenta', ' pré-cozida;2.29;0.30;#N/A;;2.40;441.89;23.31
['63;Torrada', ' pão francês;10.52;3.30;0.90;;3.40;829.49;74.56
['64;Abóbora', ' cabotian', ' cozida;1.44;0.73;0.10;;2.46;1.45;10.76
['65;Abóbora', ' cabotian', ' crua;1.75;0.54;0.12;;2.17;Tr;8.36
['66;Abóbora', ' menina brasileira', ' crua;0.61;Tr;#N/A;;1.17;Tr;3.30
['67;Abóbora', ' moranga', ' crua;0.96;0.06;#N/A;;1.70;Tr;2.67
['68;Abóbora', ' moranga', ' refogada;0.39;0.80;0.12;;1.55;3.03;5.98
['69;Abóbora', ' pescoço', ' crua;0.67;0.12;#N/A;;2.30;0.75;6.12
['70;Abobrinha', ' italiana', ' cozida;1.13;0.20;0.10;;1.59;0.83;2.98
['71;Abobrinha', ' italiana', ' crua;1.14;0.14;#N/A;;1.35;Tr;4.29
['72;Abobrinha', ' italiana', ' refogada;1.07;0.82;0.13;;1.38;2.21;4.19
['73;Abobrinha', ' paulista', ' crua;0.64;0.14;#N/A;;2.61;0.50;7.87
['74;Acelga', ' crua;1.44;0.11;#N/A;;1.12;1.18;4.63
['75;Agrião', ' cru;2.69;0.24;#N/A;;2.14;7.46;2.25
['76;Aipo', ' cru;0.76;0.07;#N/A;;0.96;9.52;4.27
['77;Alface', ' americana', ' crua;0.61;0.13;#N/A;;1.02;7.31;1.75
['78;Alface', ' crespa', ' crua;1.35;0.16;#N/A;;1.83;3.38;1.70
['79;Alface', ' lisa', ' crua;1.69;0.12;#N/A;;2.33;4.23;2.43
['80;Alface', ' roxa', ' crua;0.91;0.19;#N/A;;2.01;7.12;2.49
['81;Alfavaca', ' crua;2.66;0.48;0.10;;4.14;4.55;5.24
['82;Alho', ' cru;7.01;0.22;#N/A;;4.32;5.36;23.91
['83;Alho-poró', ' cru;1.41;0.14;#N/A;;2.51;1.76;6.88
['84;Almeirão', ' cru;1.77;0.22;#N/A;;2.59;2.35;3.34
['85;Almeirão', ' refogado;1.70;4.85;0.80;;3.43;14.52;5.70
['86;Batata', ' baroa', ' cozida;0.85;0.17;#N/A;;1.76;2.10;18.95
['87;Batata', ' baroa', ' crua;1.05;0.17;#N/A;;2.06;Tr;23.98
['88;Batata', ' doce', ' cozida;0.64;0.09;#N/A;;2.21;2.70;18.42
['89;Batata', ' doce', ' crua;1.26;0.13;#N/A;;2.57;8.77;28.20
['90;Batata', ' frita', ' tipo chips', ' industrializada;5.58;36.62;12.90;;2.46;607.40;51.22
['91;Batata', ' inglesa', ' cozida;1.16;Tr;#N/A;;1.34;2.29;11.94
['92;Batata', ' inglesa', ' crua;1.77;Tr;#N/A;;1.16;Tr;14.69
['93;Batata', ' inglesa', ' frita;4.97;13.11;2.10;;8.06;1.91;35.64
['94;Batata', ' inglesa', ' sauté;1.29;0.90;0.30;;1.38;8.18;14.09
['95;Berinjela', ' cozida;0.68;0.15;#N/A;;2.52;1.33;4.47
['96;Berinjela', ' crua;1.22;0.10;#N/A;;2.87;Tr;4.43
['97;Beterraba', ' cozida;1.29;0.09;#N/A;;1.88;22.76;7.23
['98;Beterraba', ' crua;1.95;0.09;#N/A;;3.37;9.72;11.11
['99;Biscoito', ' polvilho doce;1.29;12.25;2.40;;1.16;97.80;80.54
